State,Fips,Tightness,Collectivism,RB,Population,Minority,Foreigner,Income,density,Percent_over65,Segregation_2005-9,Segregation_2000,Change_segregation,Black Share,GINI,Conservatism,Percent_m,Median_age
Alabama,1,75.45,57,0.69340046,4887871,0.309,3.5,48486,94.4,16.9,58.37,59.61,-1.24,26.15163225,0.4859,0.380,0.484265974,38.9
Alaska,2,38.43,48,0.413933104,737438,0.347,7.8,76715,1.2,11.8,56.76,51.32,5.44,3.876599382,0.4322,0.110,0.522099724,34
Arizona,4,47.56,49,0.397420759,7171646,0.172,13.4,56213,56.3,17.5,48.93,46.31,2.62,3.722972483,0.4613,0.160,0.49713482,37.4
Arkansas,5,75.03,54,0.616472755,3013825,0.209,4.8,45726,56,17,63.94,65.81,-1.87,15.51925107,0.4845,0.280,0.490997505,37.9
California,6,27.37,60,0.558179358,39557045,0.279,26.9,71228,239.1,14.3,62.26,63.01,-0.75,5.985498921,0.4912,0.020,0.496919162,36.3
Colorado,8,42.92,36,0.41932353,5695564,0.129,9.8,68811,48.5,14.2,64.07,64.27,-0.2,3.917310878,0.4561,0.050,0.502759015,36.6
Connecticut,9,36.37,50,0.546771948,3572665,0.2,14.3,76106,738.1,17.2,67.55,67.47,0.08,9.418870769,0.5014,0.080,0.48782048,40.8
Delaware,10,51.02,55,0.44897438,967171,0.305,9.2,65627,460.8,18.7,45,45.03,-0.03,20.62551829,0.4587,0.010,0.484015187,40.2
Florida,12,49.28,54,0.358651694,21299325,0.227,20.5,53267,350.6,20.5,58.59,62.17,-3.58,15.1180639,0.4887,0.130,0.488972572,41.9
Georgia,13,60.26,60,0.548115376,10519475,0.395,10.1,55679,168.4,13.9,54.93,57.36,-2.43,29.77699838,0.4822,0.220,0.486743072,36.5
Hawaii,15,36.49,91,0.529942112,1420491,0.744,18.3,78084,211.8,18.4,57,51.52,5.48,2.872037666,0.445,0.090,0.501939131,38.9
Idaho,16,45.5,42,0.464980208,1754208,0.07,6,53089,19,15.9,54.73,41.9,12.83,0.760188407,0.4454,0.210,0.500983227,36.1
Illinois,17,45.95,52,0.669707905,12741080,0.231,14,63575,231.1,15.6,75.14,77.73,-2.59,14.52850952,0.4852,0.050,0.491043675,37.9
Indiana,18,54.57,57,0.678599042,6691878,0.149,5.2,54325,181,15.8,69.37,73.4,-4.03,8.948231177,0.4511,0.210,0.492821766,37.6
Iowa,19,49.02,39,0.699161794,3156145,0.093,5.2,58580,54.5,17.1,61.53,60.83,0.7,2.645937837,0.4413,0.180,0.496243095,38.1
Kansas,20,60.36,38,0.594828457,2911510,0.136,7.1,57422,34.9,15.9,59.16,60.26,-1.1,5.885735754,0.4633,0.120,0.498289659,36.5
Kentucky,21,63.91,53,0.688342275,4468402,0.124,3.8,48392,109.9,16.4,58.67,60.93,-2.26,7.705778685,0.4787,0.190,0.492480751,38.7
Louisiana,22,65.88,72,0.781133945,4659978,0.371,4.1,47942,104.9,15.4,56.29,58.25,-1.96,31.84338377,0.4936,0.360,0.488884162,36.6
Maine,23,34,45,0.624150107,1338404,0.054,3.6,55425,43.1,20.6,62.77,41.62,21.15,1.098838581,0.4516,0.040,0.489415244,44.6
Maryland,24,45.5,63,0.473742445,6042718,0.412,15.1,81868,594.8,15.4,64.97,65.29,-0.32,28.97847838,0.4543,-0.030,0.484776299,38.6
Massachusetts,25,35.12,46,0.599286831,6902149,0.192,16.5,77378,839.4,16.5,63.86,64.48,-0.62,5.991154739,0.4875,-0.130,0.485195514,39.4
Michigan,26,48.93,46,0.762089514,9995915,0.207,6.7,54938,174.8,17.2,75.98,80.28,-4.3,13.96028196,0.4679,0.110,0.492003405,39.7
Minnesota,27,47.84,41,0.674247605,5611179,0.159,8.4,68411,66.6,15.9,61.46,64.29,-2.83,4.520002415,0.4536,0.080,0.497841464,37.9
Mississippi,28,78.86,64,0.71700368,2986530,0.409,2.3,43567,63.2,15.9,47.74,49.24,-1.5,36.95885767,0.4828,0.260,0.485277516,37.2
Missouri,29,59.6,46,0.663564164,6126452,0.17,4.1,53560,87.1,16.9,71.81,74.32,-2.51,11.3352974,0.4657,0.180,0.490762163,38.5
